aaab 昌明
infvk 序数
inhae 冽泉
inhbn 订制
inhbt 划算
inhhk 讥笑
inhhp 调剂身心
inhon 划行
inhyg 划艇
inhyr 划船
inieo 盛气凌人
iniew 冷气设备
iniff 威风凛凛
inifr 说风凉话
inihs 订成
inihs 划成
inikg 误打误撞
iniki 讥为
iniki 订为
inimh 或多或少
iniog 订座
inioj 为今之计
inipy 划龙舟
inis 订户
inisn 订书机
inivb 讽诵
inivf 讽谏
inivj 讥评
inivn 讥讽
inivp 序论
injgo 敷衍塞责
injmo 订定
injmo 划定
injro 神气十足
inkgk 成事在天
inkgk 谋事在人成事在天
inkgo 谋事在人
inkgo 成事在天谋事在人
inkq 飙车
inkul 记忆犹新
inlir 台湾电力公司
inllm 划归
inlnd 划桨
inlp 福利中心
inlsu 订阅
inm 划一
inmbd 成事不足败事有余
inmfo 成事不足
inmft 划不来
inmib 冰肌玉骨
inmis 划动
inmmf 谕示
inmnn 序列
inmt 划开
inmwf 订票
inmy 订下
inmym 订正
inndf 祛风除热
innn 讫了
innnn 敷衍了事
innqq 庖丁解牛
inofg 礼多人不怪
inojk 订做
inokn 说到做到
inokr 谕知
inooj 订货单
inool 订价
inopo 订货
inosm 成佛作祖
inoyt 订位
inpa 谕旨
inpga 感今惟昔
inpho 良机勿失
inqie 划拨
inqrg 敷衍搪塞
inqse 订报
inqyj 划掉
inrgq 龙凤呈祥
inrjb 讥嘲
inrmk 序跋
inrms 序号
intab 序幕
intrb 凄风苦雨
intw 序曲
inuu 订出
inuu 划出
invha 订婚
invht 神机妙算
invmi 订约
invmj 划线
inwff 台湾黑熊
inwol 划界
inwpa 感今思昔
inyck 订交
inyhr 订造
inyk 序文
inymr 序言
inymu 序齿
inyrf 讫点
inyt 订立
inytr 讫站
inyuh 龙行虎步
inyul 龙吟虎啸
inywo 凌气逼人
ioab 认明
ioadi 之时
ioahu 蹙眉
ioali 麾之即去
iobbi 感人肺腑
iobbj 感人肺肝
iobhe 认股
iobmr 认同
iobms 资助
ioboh 资财
ioboi 认购
iobom 资赋
ioboo 认账
iobor 认赔
iobpa 凝脂
iobry 认同卡
iobuq 凝眸
ioc 资金
ioddh 资材
iodhr 资格
iodlo 诬赖
iodm 资本
iodmh 资本财
iodmo 资本额
iodmo 资本家
iodmp 资本论
iodup 凝想
ioebd 资深
ioedu 发人深省
ioemf 资源
ioeqb 认清
ioetb 凝滞
ioeyu 之流
iofdj 资料
iofdk 之类
iofjg 资料室
iofjq 资料库
iofjy 资料卡
iofsm 该当
iogcb 义愤填膺
iogro 讨人喜欢
iohdf 之秋
iohew 该备
iohey 之处
iohgr 诬告
iohik 神嚎鬼哭
iohjg 凝重
iohjo 资质
iohjr 该管
iohkk 鸢飞戾天
iohlo 之所以
iohmr 之后
iohnq 龙飞凤舞
iohoi 认得
iohqm 认生
iohry 诬告罪
iohuu 庸人自扰
iohyt 为人处世
ioicn 认识到
ioifl 凝神
ioifq 祯祥
ioifu 凝视
ioijb 资讯网
ioiki 认为
ioiku 误人误己
ioiok 成人之美
ioior 成人之善
ioipt 议长论短
ioivc 认识
ioivi 诬诋
ioivj 资讯
ioivm 认证
iojbc 认真
iojka 袭人故智
iojkb 成人教育
iojmo 认定
iojnd 认字
iojqr 诬害
iokgt 为人在世
iokm 之左
iokoi 社员大会
iokqn 认输
iokr 之右
iol 之中
iolbo 认帐
iolbr 庚帖
iolbv 为人师表
iolsa 之间
iolsh 之初
iom 之一
iomd 之于
iomeu 求人不如求己
iomfb 认不清
iomfi 求之不得
iomfu 诲人不倦
iomgg 该班
iomig 之至
iomio 永久磁铁
iomki 话题一转
iomkq 祸从天降
iomks 资历
iommk 资政
iomms 诉之武力
iomnp 该死
iomnr 认可
iomre 认破
iomso 成人不自在，自在不成人
iomsr 为之动容
iomy 之下
iomyg 礼贤下士
iond 之子
iondh 良家子弟
iondh 误人子弟
ionfk 诺贝尔奖
ionin 之多
ioniy 之外
ionlf 之际
ionlx 诬陷
ionmk 鸢飞鱼跃
ionn 认了
iono 之久
ioob 之内
iooio 认领
ioojk 认做
iookr 认知
ioomd 之余
iooml 认命
iooo 广众
iooos 认作
ioopa 认错
ioord 庸夫俗子
iooso 为人作嫁
iop 贰心
iopbj 感人心脾
ioqjm 诬控
ioqrb 认捐
ioruu 祸从口出
ios 认尸
ioseo 凝聚
iosos 凝聚力
iotbn 之前
iotco 神人共愤
iotol 认养
iotrv 求贤若渴
iouu 认出
iouut 认出来
iovkf 救人如救火
iovmr 凝结
iovmv 良家妇女
iovnd 良家女子
iowjr 凝固
iowly 认罪
iowp 凝思
iowrf 凝固点
iowyi 发愤图强
ioybg 凝望
ioyck 之交
ioyed 误入歧途
ioyhs 资方
ioykg 摩顶放踵
ioylr 资遣
ioym 之上
ioypv 发愤忘食
ioytc 成家立业
ioytd 认亲
ioyth 资产
ioytk 资送
ioytu 之道
ioyut 说长道短
ioyvi 凄楚哀怜
ipabu 感冒
ipags 度德量力
ipamg 能量
ipbbb 龙骨
ipbbe 感受
ipbdm 熊心豹子胆
ipben 感受到
ipbes 感受力
ipbie 龙脉
ipbim 熊心豹胆
ipbkf 庞然
ipbue 能见度
ipbuu 神龙见首不见尾
ipbuv 龙眼
ipcor 鹿谷
ipdha 龙柏
ipdup 感想
ipef 救民水火
ipefl 能源部
ipehk 感激
ipemf 能源
ipemj 龙潭
ipend 感染
ipenm 龙涎
ipepd 龙蛇混杂
ipetu 鹿港
ipeuc 鹿港镇
ipfbu 感觉
ipfce 感兴趣
ipfmn 龙灯
ipfmu 感光
ipfun 龙卷风
ipfun 感觉到
ipfup 感光纸
ipfuu 感觉出
ipg 能士
ipgmi 论坛
iphae 龙泉
iphby 龙舟
iphdf 论称
iphdl 龙种
iphho 龙须
iphiy 鹿特丹
iphne 龙凤
iphnr 龙凤帖
iphnt 龙凤饼
iphod 龙须菜
iphrm 龙舌兰
iphru 惑乱
iphuo 论赞
iphur 神意自若
iphuv 能忍自安
iphyo 龙舟赛
iphyr 龙船
ipibl 为民请命
ipid 龙床
ipieu 良心发现
ipifm 感应
ipigq 鹿死谁手
ipiiw 冷心冷面
ipimr 感应器
ipisp 诚心诚意
ipiuk 论说文
ipivb 论调
ipive 感发
ipivh 讹谬
ipivi 感谢
ipivk 讹误
ipivl 感训
ipivm 论证
ipivr 论语
ipivs 讹诈
ipivu 论说
ipiyd 之死靡他
ipiym 之死靡二
ipiyp 之死靡它
ipjc 龙穴
ipjcp 感恩戴德
ipjic 感戴
ipjka 论者
ipjkb 感化教育
ipjln 能事
ipjmo 论定
ipjrr 感官
ipjrr 龙宫
ipjru 庞克
ipk 庞大
ipkdy 龙蛇杂处
ipknd 庞杂
ipks 能力
ipksi 龙套
ipkw 感奋
iplip 龙蛇
iplis 龙门
ipliy 龙虾
iplpu 龙袍
iplwu 感电
ipm 怠工
ipmbi 能耐
ipmbm 尤花殢雪
ipmfn 之死不渝
ipmfp 能不能
ipmfp 求死不能
ipmfp 永志不忘
ipmfr 能否
ipmg 龙王
ipmgd 龙珠
ipmgd 论理学
ipmgg 论理
ipmgl 龙王爷
ipmgn 感到
ipmir 冰心玉洁
ipmis 感动
ipmis 能动
ipmj 能干
ipmmk 论政
ipmml 福德正神
ipmnn 论列
ipmqi 台北工专
ipnbg 鹿角
ipnbi 感触
ipnd 龙子
ipnhe 论及
ipnmk 怠驶
ipnsd 论争
ipnvm 龙马
ipo 感人
ipo 能人
ipobo 鹿肉
ipohn 感佩
ipoip 感念
ipokr 庇佑
ipomm 能仁
iponp 神怒人怨
ipool 论价
ipooo 惑众
ipoos 感伤
ipop 感化
ipopg 龙锺
ipopj 龙华
ipopu 感化院
ipopv 龙银
ipoq 龙年
ipoqi 讹传
iporg 良心何在
ippae 怠慢
ippau 感慨
ipphm 感性
ipphp 怠忽
ippje 庞毕度
ippkb 怠惰
ippmf 感怀
ippmr 感悟
ippqb 感情
ipprn 能够
ippup 神思恍惚
ipq 能手
ipqis 庇护
ipqsl 庇护所
ipqsr 论据
iprer 感叹词
iprgd 龙吐珠
iprkr 为民喉舌
iprwb 感喟
ipsci 怠忽职守
ipshr 感召
ipsrn 能剧
ipsut 诧异
iptap 感慕
iptbk 怠散
iptkk 弋获
iptnb 庇荫
iptnj 为民前锋
iptqu 论着
iptsj 鹿茸
iptt 龙井
ipttd 龙井茶
ipugi 龙山寺
ipukr 龙崎
ipusk 龙山区
ipuud 求忠出孝
ipv 龙女
ipvdl 论断
ipvrm 视死如归
ipwgn 鹿野
ipwkp 感恩
ipwly 论罪
ipwpl 感恩节
ipwye 感恩图报
ipybt 台北市立
ipyck 论交
ipyho 龙颜
ipyic 论述
ipyjj 论辨
ipyk 龙头
ipyk 论文
ipymr 感言
ipymr 讹言
ipypu 龙虎
ipyrf 论点
ipyri 论战
ipyu 广岛
ipyuj 龙虎斗
iqab 详明
iqc 麟儿
iqdam 详查
iqdm 译本
iqdui 诚挚相待
iqehv 摩娑
iqerr 摩洛哥
iqeyg 译注
iqfmu 祥光
iqfqh 库券
iqgvh 冰解壤分
iqhdn 牟利
iqhdp 详悉
iqhdr 祥和
iqhew 详备
iqhhu 译笔
iqhie 冰解的破
iqhss 库房
iqhw 广播
iqihs 译成
iqinn 庠序
iqipq 祥麟
iqivk 详读
iqjka 译者
iqjll 详审
iqjpu 详密
iqjrp 成年古代
iqjyk 详实
iqkdg 库存量
iqkld 库存
iqksr 详加
iqlsk 摩门教
iqlsu 详阅
iqmcw 摩西
iqmgb 祥瑞
iqmio 计件工资
iqmk 摩天
iqmki 摩天岭
iqmkp 摩天轮
iqmkv 摩天楼
iqmmi 祥云
iqmno 摩顶
iqmou 库页岛
iqmsp 发挥功能
iqmyt 记载下来
iqnbg 麟角
iqnbq 详解
iqnir 诨名
iqnir 译名
iqnot 摩登
iqoop 库伦
iqopv 库银
iqpqb 详情
iqqdq 摩拖车
iqqfq 磨拳擦掌
iqqfq 摩拳擦掌
iqqfs 摩擦力
iqqjf 摩擦
iqqnn 成群打夥
iqqpq 摩托车
iqrbo 译员
iqsoy 详尽
iqspk 摩尼教
iqspn 牟尼佛
iqtis 库藏
iqtqu 译着
iqvbr 摩纳哥
iqvmw 详细
iqvro 成群结队
iqvww 详详细细
iqwb 广播网
iqwfb 成年累月
iqwhr 详略
iqwl 广播节
iqwl 广播界
iqwn 广播剧
iqwr 广播站
iqyic 详述
iqyk 译文
iqyro 详言之
iqyta 译音
irabg 唐明皇
iraeh 诺曼第
iraib 冰河时期
iraoo 话题
irawe 诺曼
irbau 减肥
irbd 词采
irbfq 减胖
irbof 诺贝尔
irbpu 台胞
irbrp 永结同心
irbsr 语助词
irc 冶金
irc 台金
irc 话儿
irctm 义结金兰
irdhn 话机
irdm 话本
irdmb 话柄
irdoy 话梅
irdyg 台柱
ire 咸水
ireeb 咸水湖
iregi 语法
iregi 减法
ireko 谣言满天飞
ireni 台湾玉
irenm 咸水鱼
ireno 台湾人
irens 台湾区
ireog 诘难
ireog 磨难
ireoy 咸海
ires 语汇
ires 词汇
irf 减小
irfbg 祠堂
irfdk 词类
irfdo 语言学家
irfh 减少
irfhu 台省
irfhu 减省
irfkd 冶炼
irfko 视如敝屣
irfmm 店小二
irfmu 磨光
irfq 减半
irfrm 户口誊本
irfvk 减数
irggi 诰封
irgi 减去
irgpd 台地
irgys 磨坊
irhbn 磨制
irhbr 话筒
irhdm 减租
irhdu 减税
irhed 词条
irhmy 诃斥
irhnv 台风眼
irhso 话务员
irhss 磨房
irhup 减息
irhyt 磨盘
iribm 户口调查
irid 磨床
irids 诏书
irien 求名求利
irieu 冷若冰霜
irifu 台视
irihm 店底
irihs 磨成
iriir 冷言冷语
irijb 台甫
irikg 救苦救难
irikq 词库
irioi 咸认为
iripm 台式
irirp 唐吉诃德
iriso 成名成家
iriva 谘询
iriva 词谱
irivb 语调
irive 谘诹
irivi 唐诗
irivk 谘议
irivp 良知良能
irivr 语词
irivr 话语
irivr 词语
irivt 诰诫
irivu 话说
irjbb 台南市
irjbj 台南
irjbo 唐朝人
irjck 唐突
irjcs 词穷
irjjb 唐朝
irjmo 店家
irjob 话家常
irjpm 唐老鸭
irjpu 唐尧
irjrh 谈何容易
irjtg 语塞
irjv 诏安
irk 台大
irkab 咸猪肉
irkd 店东
irkdi 台东县
irkdy 福如东海
irkif 唐太宗
irklb 台布
irkmb 语病
irkmb 诟病
irkqm 减轻
irkrm 台驾
irl 台中
irla 话旧
irlgv 唐装
irliv 磨蝎
irllj 词牌
irlmp 台北
irlpb 台北市
irlsr 诘问
irlyb 台中市
irm 冶工
irmbu 冲口而出
irmcw 台西
irmf 磨灭
irmfj 磨平
irmfn 诚信原则
irmg 唐王
irmge 台球
irmgi 减压
irmhv 神超形越
irmig 减至
irmmi 语云
irmms 唐三藏
irmom 诗词歌赋
irmre 磨破
irmrj 磨碎
irmtb 磨豆腐
irmtc 诺亚
irmtn 减刑
irmua 视若无睹
irmub 冷酷无情
irmuh 视若无物
irmvh 磨牙
irmwl 店面
irmwl 台面
irmy 台下
irnau 减免
irnau 减色
irnd 台子
irnir 店名
irnla 咸阳
irnld 减除
irnme 语录
irnmm 减弱
irnoi 咸蛋
irnri 户口名簿
irnwm 咸鱼
iro 唐人
iro 词人
iroau 唐伯虎
irobo 咸肉
irocn 请君入瓮
irof 店伙
irohg 讲信修睦
irohm 减低
irohn 唐人街
iroii 诏令
iroii 词令
iroip 唐代
iromd 词余
iromk 语体文
iroml 诰命
iromn 语气
iromu 成何体统
irool 减价
iropb 店铺
iropj 话锋
iropj 词锋
iropo 冶铁
iropq 磨链
iropr 台铝
iropv 台银
iroqq 减俸
iroyr 咸信
irpcn 谨言慎行
irphm 词性
irpo 店长
irpr 语句
irpr 词句
irqef 记名投票
irqhl 磨折
irqj 咸丰
irqjf 磨擦
irqju 冶艳
irqmf 词素
irqmo 谴责
irqmo 诘责
irqro 减损
irqro 磨损
irrbo 店员
irrjd 咸味
irrma 磨蹭
irrms 减号
irrrm 诟骂
irrsn 话别
irsh 磨刀
irshr 磨刀石
irshu 词尾
irsiq 店肆
irsld 话匣子
irsrn 话剧
irsuu 视如己出
irtab 唐菖蒲
irtam 户口普查
irtbc 词典
irtbd 咸菜
irtcg 台基
irted 词藻
irtrj 能言善辩
irtro 广结善缘
irtw 词曲
irtyl 减薪
iru 唐山
iruu 磨出
irvil 应召女郎
irvlk 减收
irvma 减缩
irvmd 磨练
irvme 减缓
irvmm 词组
irwdn 店夥
irwgg 磨墨
irwmi 咸鸭蛋
irwpj 成吉思汗
iryaa 谣言止于智者
iryad 语音学
iryam 词韵
iryav 减退
irybr 摩口膏舌
irybt 资治通监
irycb 台商
irycb 谘商
irydl 减速
iryg 店主
iryho 词频
iryhu 词选
iryk 语文
iryk 话头
iryk 词头
iryk 店头
irykf 州官放火
irym 台上
irymr 诺言
irymr 语言
irypk 唐虞
irypk 诸如此类
iryrd 语言学
iryta 语音
iryta 话音
irytb 台端
iryth 减产
irytj 词章
irytp 语意
irytp 词意
isa 成日
isab 书明
isahu 书眉
isavp 诚恳
isbbm 书册
isbes 社区服务
isbhu 成见
isbkc 诱胁
isbkf 诚然
isboh 诈财
isbok 诈败
isbok 成败
isbu 书目
isbym 书写
ischg 能力分班
iscsh 成分
iscwj 书单
isdam 访查
isddh 成材
isdhe 书皮
isdm 成本
isdm 书本
isdss 书柜
isdtq 成样
isdu 书札
isdy 诚朴
isedi 成对
isee 成双
iseg 书圣
isegi 成法
isegi 书法
iseio 书法家
isfdj 讵料
isfqu 书卷
isfun 书卷气
isfvk 成数
isgbt 诚壹
isgis 书城
isgnh 书场
isgog 成堆
isgys 书坊
ishai 户籍法
ishbt 成算
ishda 书香
ishdb 书策
ishdf 诈称
ishik 神藏鬼伏
ishj 成千
ishla 书简
ishno 论功行赏
ishom 诚征
ishon 成行
ishqa 户籍
ishqa 书籍
ishqm 书生
ishrk 诱敌
ishss 书房
ishst 书箧
isid 诈术
isifu 访视
isifu 成礼
isifw 成福
isije 访求
isiki 成为
isikq 书库
isimp 诱惑
isips 诱惑力
isiur 书记官
isiuy 书记处
isivb 成诵
isive 诱发
isivf 访谈
isivj 书评
isivk 谤议
isivk 成议
isivr 成语
isivu 书记
isiyr 书店
isjal 成都
isjbf 访察
isjbi 书蠹
isjfp 祖功宗德
isjg 戈壁
isjhr 访客
isjjm 书翰
isjkb 义务教育
isjln 成事
isjmo 成家
isjmo 书家
isjr 访古
isjvd 书案
isjyk 诚实
isk 成大
iskd 诱杀
iske 访友
iskfd 成功大学
iskrd 书架
isksi 书套
iskt 书夹
islbo 书帙
isll 成串
islmi 书虫
islmi 成虫
islro 访问队
islro 成问题
islru 访问记
islrw 访问团
islsh 诗书门第
islsr 访问
ismbe 废书而叹
ismbo 书页
ismfl 良莠不齐
ismfr 臧否
ismjn 书刊
ismk 成天
ismks 成功
ismmi 书厨
ismmk 户政
ismng 成型
ismnp 诈死
ismro 讴歌
ismru 龙门石窟
ismsa 成功者
ismsc 成功镇
ismsi 成功岭
ismsj 成功率
ismth 成形
ismuo 书画家
ismuw 书画
ismvq 读书不求甚解
ismwl 书面
isnau 成色
isnir 成名
isnir 讳名
isnir 户名
isnir 书名
isniy 户外
isnl 诱引
isnlq 诈降
isnlu 书院
isnlv 户限
isnmb 诱骗
isnmb 诓骗
isnmb 诈骗
isnn 成了
isnrs 书名号
isnvb 讳饰
isnvj 诱饵
isnvr 书馆
iso 成人
iso 诱入
iso 诱人
iso 访人
isob 户内
isoch 成份
isodm 书体
isoer 发动侵略
isoeu 谨防假冒
isois 诈伪
isoln 成佛
isomc 诱兵
isomg 成全
isoml 成命
isomm 成仁
isomn 成例
isomr 庐舍
isonk 成气候
isopb 书铺
isoq 成年
isoqb 成年期
isoqo 成年人
isoqu 成年礼
isoyg 书僮
isoyr 诚信
isoyr 书信
isp 成心
isp 诚心
ispo 户长
ispo 成长
ispoj 成长率
ispru 书包
isqcq 谨防扒手
isqeg 书摊
isqhk 书契
isqib 诱捕
isqiq 诚挚
isqob 成擒
isqou 成规
isqrh 诱拐
isqse 书报
isr 户口
isrbo 访员
isrbo 成员
isrdd 书呆子
isrow 成员国
isrrr 成器
isrrr 成品
isrui 诱导
isshb 诚属
issmg 书屋
issrq 成群
isssr 成局
isssr 书局
isstv 书展
istag 庐墓
istco 诈欺
istkk 臧获
istnb 成荫
istoy 诈欺罪
istrk 诚敬
istvi 成药
isu 庐山
isune 书函
isuu 诱出
isvha 成婚
isvmj 诱奸
isvmm 书经
isvmo 成绩
isvoj 成绩单
isvr 诚如
iswd 成果
iswk 成因
iswk 诱因
isyad 书桌
isycb 书商
isyck 成交
isydi 发号施令
isyfu 成就
isyg 户主
isyhv 成衣
isyif 成熟
isyig 书塾
isyk 成文
isyk 户头
isykg 成交量
isyki 成文法
isykk 成效
isykl 书斋
isymr 讳言
isypc 社区意识
isyrl 户部
isyt 成立
isytd 访亲
isytd 成亲
isytj 成章
isytp 诚意
isyup 成就感
itab 讲明
itaja 盛暑
itaoo 讲题
itbmc 戒具
itboa 戒赌
itboj 盗贼
itbq 盗用
itbse 盛服
itegi 讲法
itejc 讲演
itemj 盗汗
itemw 戒酒
itfbd 讲学
itfbg 讲堂
itfcq 盛举
itfcr 盛誉
itgmi 讲坛
itgou 讲起
itgut 讲起来
ithdb 讲稿
ithdr 讲和
ithed 戒条
ithew 戒备
ithnm 盛筵
ithon 盛行
ithoq 戒律
ithoq 诫律
ithpl 盗印
itids 讲书
itiig 盗垒
itije 讲求
itik 讲义
itilr 盛唐
itimu 盛况
itiog 讲座
itiou 神来之笔
ititb 讲席
itiui 说来说去
itivd 讲课
itivj 讲评
itivr 讲话
itivr 讲词
itiyg 诲盗诲淫
itjav 盛宴
itjch 盗窃
itjcn 讲究
itjln 盛事
itjnk 盗卖
itjvd 盗案
itk 盛大
itlgv 盛装
itllb 讲师
itlle 盗版
itlsr 广开门路
itmgg 讲理
itmgn 讲到
itmhd 戒严案
itmhi 戒严法
itmhi 戒严令
itmpm 讲武
itmsh 冷血动物
itmt 盛开
itmth 戒严
itmue 盛夏
itmwd 讲面子
itmyi 讲下去
itnbq 讲解
itnir 盛名
itnld 戒除
itnme 盗录
itnvc 盛馔
itnve 盛饭
itoi 盗伐
itoio 盗领
itomi 盛会
itomn 盛气
itool 讲价
itoq 盛年
itoqi 盛传
itp 戒心
itpbc 戒惧
itpjc 戒慎
itpqb 盛情
itpqb 讲情
itpt 盛世
itqbe 讲授
itqis 戒护
itqmy 戒毒
itqpa 戒指
itqyj 戒掉
itrrr 盛器
itsh 戒刀
itsim 讲习
itsje 盗取
itsly 盗匪
itsmg 讲习班
itsmi 讲习会
itsml 讲习所
itso 戒尺
ittag 盗墓
ittbc 盛典
itthu 盗首
ittyy 戒菸
ituu 讲出
ituut 讲出来
ituut 计算出来
itvep 盛怒
itvmm 讲经
itvmr 讲给
itvmu 戒绝
ityic 讲述
itymr 弁言
ityth 盛产
itytp 盛意
itytu 讲道
ityug 讲道理
itywv 盛衰
iuab 说明
iuabk 说明文
iuabs 说明书
iuabs 说明力
iubes 说服力
iubhu 礼貌
iubkk 视网膜
iubm 况且
iubmr 视同
iubrr 说瞎话
iubse 说服
iubse 礼服
iuc 礼金
iuche 记分板
iucho 记分员
iucsh 记分
iuddn 说梦
iudnr 说梦话
iudt 说来
iuduh 说相声
iuebo 说清楚
iueeg 福无双至
iuegi 说法
iuegi 记法
iuegi 礼法
iuei 说戏
iuekl 感慨激昂
iufbg 礼堂
iufbu 视觉
iufqh 礼券
iufsm 允当
iufub 神仙眷属
iufur 视觉器
iufvk 礼数
iugjh 诘屈聱牙
iugou 说起
iugou 记起
iugut 说起来
iuha 说白
iuhbf 祁毛禹狄
iuhbn 礼制
iuhdh 诡秘
iuhdr 说和
iuheo 义无反顾
iuhfo 感慨系之
iuhgr 祝告
iuhhk 说笑
iuhhk 讪笑
iuhho 尤须
iuhid 说得好
iuhie 神出鬼没
iuhim 说得上
iuhio 神出鬼入
iuhit 说得来
iuhiu 神眉鬼道
iuhiv 神眉鬼眼
iuhjg 礼拜堂
iuhjk 礼拜天
iuhkr 说笑话
iuhlu 计无所出
iuhoi 记得
iuhqh 尤物
iuhqh 礼物
iuhqj 礼拜
iuhqm 礼生
iuhrj 说辞
iuhrj 诡辞
iuhrj 祝辞
iuhuo 礼赞
iuhur 神色自若
iuhvd 礼乐
iuids 说书
iuifi 祝祷
iuifl 祀神
iuifw 祝福
iuihs 说成
iuihu 谢绝参观
iuik 礼义
iuiki 视为
iuiko 误己误人
iuilm 视神经
iuilm 感觉神经
iuimg 允准
iuipl 能屈能伸
iuish 成己成物
iuiua 说谎者
iuivb 诡谲
iuivb 记诵
iuivj 诡计
iuivj 视讯
iuivj 允许
iuivm 礼让
iuivp 谠论
iuivr 谎话
iuivr 说话
iuivr 说词
iuivr 祝词
iuivr 允诺
iuivs 诡诈
iuivu 说谎
iuivu 礼记
iujai 记者会
iujbf 视察
iujch 说穿
iujci 说真的
iujcr 礼宾司
iujdk 说教
iujdk 礼教
iujhq 记牢
iujhr 说客
iujiq 记载
iujka 记者
iujln 祀事
iujln 记事
iujln 视事
iujmn 盛况空前
iujmu 说完
iujna 永无宁日
iujni 记事簿
iujnm 记事本
iujr 说古
iujwu 庐山真面目
iukgp 谨记在心
iukir 说大话
iukmr 诡奇
iukms 记大功
iukoi 庆祝大会
iukro 祝贺
iuks 视力
iuksv 视力表
iukyi 记大过
iulbo 记帐
iulbu 礼帽
iulo 神仙中人
iumbi 祝融
iumdu 麻省理工学院
iumeb 说破嘴
iumfb 说不清
iumfb 记不清
iumfg 记不住
iumfi 说不过
iumfi 说不得
iumfi 记不得
iumfm 说不上
iumfo 说不定
iumfr 礼无不答
iumfu 说不出
iumfv 凌乱不堪
iumgg 说理
iumgn 说到
iumis 说动
iumks 记功
iumky 席卷天下
iummi 庖厨
iummo 说项
iumn 庖丁
iumnb 冰山一角
iumnr 允可
iumoo 祝巫
iumre 说破
iumsj 感慨万千
iumt 说开
iumy 麾下
iumy 记下
iumyt 记下来
iunbg 视角
iunel 记录片
iunir 记名
iunme 记录
iunue 谈虎色变
iuo 尤人
iuo 记入
iuobp 发自内心
iuocr 礼俗
iuode 记叙
iuodm 永无休止
iuoek 记叙文
iuogg 尤佳
iuoik 礼仪
iuoio 诗礼传家
iuoip 记念
iuokn 记仇
iuomr 说合
iuoos 视作
iuopa 说错
iuopa 记错
iuopo 语无伦次
iuoqi 谣传
iuort 礼盒
iuoso 为虎作伥
iuoyg 记住
iupav 记恨
iuphm 记性
iupn 记忆
iupnm 记忆体
iupns 记忆力
iupqb 说情
iuqgg 记挂
iuqki 祝寿
iuqkq 祀奉
iuqse 谎报
iurhl 视听
iurms 记号
iurrr 礼品
iurrr 礼品店
iusje 记取
iusjs 礼聘
iusut 诡异
iutbc 祀典
iutco 尤其是
iutkr 祝英台
iutlw 祸起萧墙
iutmc 尤其
iutmt 礼葬
iutmv 尤甚
iutqm 视差
iutru 能说善道
iutsl 礼节
iuuu 说出
iuuut 说出来
iuvdl 说好听
iuvmj 视线
iuvml 计画经济
iuvmr 说给
iuvnd 说好
iuvtd 说媒
iuwgn 视野
iuwol 视界
iuybu 调虎离山
iuycb 座无虚席
iuydi 说过
iuydi 记过
iuyeu 谈虎变色
iuyic 记述
iuyjj 诡辩
iuyk 祝文
iuyk 说文
iuym 说上
iuymr 谣言
iuymr 谎言
iuymu 永无止境
iuyrl 礼部
iuysm 发配边疆
iuytd 说亲
iuytu 说道
iuyuj 调虎离山计
iuywb 礼遇
iva 良日
ivbb 良朋
ivbby 神湛骨寒
ivbhu 谒见
ivbkc 威胁
ivboj 良贱
ivbse 威服
ivcys 威震八方
ivdbu 良相
ivddh 良材
ivde 威权
ivdhn 良机
ivdui 麻衣相法
iveas 发展潜力
ivebd 良深
ivecu 发表演说
iveou 凄沧
iveqb 凄清
ivetu 良港
iveym 威海卫
ivg 良士
ivgcc 威赫
ivgms 发展趋势
ivgra 良辰吉日
ivgso 社鼠城狐
ivgsp 威士忌
ivhdb 良策
ivhdl 良种
ivhlb 良币
ivhnk 凄风
ivhnk 威风
ivhqm 诞生
ivibp 良能
ivifw 威福
ivimi 凄冷
ivitc 威廉
ivitr 祲威盛容
ivjco 良窳
ivjfb 良宵
ivjmo 良家
ivjod 良家子
ivkdi 袭夺
ivke 良友
ivkht 威猛
ivks 威力
ivllb 良师
ivlmi 良将
ivmbv 威震
ivmfe 应接不暇
ivmfu 鹿裘不完
ivmiv 靡衣玉食
ivmmv 良辰
ivmmv 诞辰
ivmpm 威武
ivmr 广结
ivmth 威严
ivnff 威尔逊
ivnfg 威尔基
ivnfl 威尔斯
ivnin 良多
ivnir 威名
ivnmn 良弼
ivnmr 良驹
ivno 良久
ivnvm 良马
ivo 良人
ivofq 良伴
ivoik 威仪
ivokr 良知
ivonv 靡衣偷食
ivoyr 威信
ivp 良心
ivpbn 凄恻
ivpgg 凄凄惶惶
ivphh 凄凄惨惨
ivphm 良性
ivpir 良心话
ivpou 凄怆
ivpse 威慑
ivqis 威势
ivqu 袭击
ivrmy 威吓
ivrvp 良民
ivrwk 凄咽
ivsfo 威灵顿
ivsje 袭取
ivsmf 威灵
ivsok 良医
ivspl 威尼斯
ivtdr 盛衰荣枯
ivtgk 凄美
ivtjr 凄苦
ivtkf 良辰美景
ivttr 良善
ivtvi 良药
ivuut 发展出来
ivvju 凄婉
ivvmo 良缘
ivvnd 良好
ivvnv 靡衣媮食
ivvuf 良辰媚景
ivw 良田
ivwyd 救亡图存
ivybg 威望
ivydi 诿过
ivyfd 凄迷
ivyhs 良方
ivyig 发展过程
ivymr 良言
ivymw 威逼
ivyok 良夜
ivysu 冷眼旁观
ivyub 熊腰虎背
ivyvv 诞妄
